"filename", "language", "C++", "Swift", "JSON", "XML", "Dart", "Markdown", "HTML", "YAML", "Groovy", "Properties", "comment", "blank", "total"
"/media/nims/ملفاتي/studio projects/sono/android/app/src/profile/AndroidManifest.xml", "XML", 0, 0, 0, -3, 0, 0, 0, 0, 0, 0, -4, -1, -8
"/media/nims/ملفاتي/studio projects/sono/android/build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, -26, 0, 0, -5, -31
"/media/nims/ملفاتي/studio projects/sono/android/gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, -1, -4
"/media/nims/ملفاتي/studio projects/sono/android/gradle/wrapper/gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, 0, -1, -6
"/media/nims/ملفاتي/studio projects/sono/android/settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, -24, 0, 0, -6, -30
"/media/nims/ملفاتي/studio projects/sono/ios/Runner/AppDelegate.swift", "Swift", 0, -12, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -14
"/media/nims/ملفاتي/studio projects/sono/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 0, -122, 0, 0, 0, 0, 0, 0, 0, 0, -1, -123
"/media/nims/ملفاتي/studio projects/sono/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json", "JSON", 0, 0, -23, 0, 0, 0, 0, 0, 0, 0, 0, -1, -24
"/media/nims/ملفاتي/studio projects/sono/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md", "Markdown", 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, -2, -5
"/media/nims/ملفاتي/studio projects/sono/ios/Runner/Base.lproj/LaunchScreen.storyboard", "XML", 0, 0, 0, -36, 0, 0, 0, 0, 0, 0, -1, -1, -38
"/media/nims/ملفاتي/studio projects/sono/ios/Runner/Base.lproj/Main.storyboard", "XML", 0, 0, 0, -25, 0, 0, 0, 0, 0, 0, -1, -1, -27
"/media/nims/ملفاتي/studio projects/sono/ios/Runner/Runner-Bridging-Header.h", "C++", -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -2
"/media/nims/ملفاتي/studio projects/sono/ios/RunnerTests/RunnerTests.swift", "Swift", 0, -7, 0, 0, 0, 0, 0, 0, 0, 0, -2, -4, -13
"/media/nims/ملفاتي/studio projects/sono/lib/core/constant/image_asset.dart", "Dart", 0, 0, 0, 0, -30, 0, 0, 0, 0, 0, -3, -11, -44
"/media/nims/ملفاتي/studio projects/sono/lib/core/constant/routes/get_page.dart", "Dart", 0, 0, 0, 0, -28, 0, 0, 0, 0, 0, -4, -12, -44
"/media/nims/ملفاتي/studio projects/sono/lib/core/constant/routes/route.dart", "Dart", 0, 0, 0, 0, -8, 0, 0, 0, 0, 0, -26, -11, -45
"/media/nims/ملفاتي/studio projects/sono/lib/core/constant/theme/color/dark_color.dart", "Dart", 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, -5, -7, -15
"/media/nims/ملفاتي/studio projects/sono/lib/core/constant/theme/color/general_color.dart", "Dart", 0, 0, 0, 0, -29, 0, 0, 0, 0, 0, -4, -12, -45
"/media/nims/ملفاتي/studio projects/sono/lib/core/constant/theme/color/light_color.dart", "Dart", 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, -5, -7, -15
"/media/nims/ملفاتي/studio projects/sono/lib/core/constant/theme/elements_theme/app_bar_theme.dart", "Dart", 0, 0, 0, 0, -14, 0, 0, 0, 0, 0, 0, -5, -19
"/media/nims/ملفاتي/studio projects/sono/lib/core/constant/theme/elements_theme/elevated_button_theme.dart", "Dart", 0, 0, 0, 0, -27, 0, 0, 0, 0, 0, 0, -4, -31
"/media/nims/ملفاتي/studio projects/sono/lib/core/constant/theme/elements_theme/icon_theme.dart", "Dart", 0, 0, 0, 0, -9, 0, 0, 0, 0, 0, 0, -4, -13
"/media/nims/ملفاتي/studio projects/sono/lib/core/constant/theme/elements_theme/text_filed_theme.dart", "Dart", 0, 0, 0, 0, -36, 0, 0, 0, 0, 0, 0, -4, -40
"/media/nims/ملفاتي/studio projects/sono/lib/core/constant/theme/elements_theme/text_theme.dart", "Dart", 0, 0, 0, 0, -40, 0, 0, 0, 0, 0, 0, -5, -45
"/media/nims/ملفاتي/studio projects/sono/lib/core/constant/theme/theme.dart", "Dart", 0, 0, 0, 0, -40, 0, 0, 0, 0, 0, 0, -4, -44
"/media/nims/ملفاتي/studio projects/sono/lib/core/functions/get_theme_color.dart", "Dart", 0, 0, 0, 0, -6, 0, 0, 0, 0, 0, 0, -3, -9
"/media/nims/ملفاتي/studio projects/sono/lib/core/middleware/my_middleware.dart", "Dart", 0, 0, 0, 0, -14, 0, 0, 0, 0, 0, 0, -7, -21
"/media/nims/ملفاتي/studio projects/sono/lib/core/package/tap_to_exit.dart", "Dart", 0, 0, 0, 0, -49, 0, 0, 0, 0, 0, 0, -5, -54
"/media/nims/ملفاتي/studio projects/sono/lib/core/responsive/base_widget.dart", "Dart", 0, 0, 0, 0, -12, 0, 0, 0, 0, 0, 0, -6, -18
"/media/nims/ملفاتي/studio projects/sono/lib/core/responsive/responsive_layout.dart", "Dart", 0, 0, 0, 0, -26, 0, 0, 0, 0, 0, 0, -6, -32
"/media/nims/ملفاتي/studio projects/sono/lib/core/responsive/screen_size.dart", "Dart", 0, 0, 0, 0, -15, 0, 0, 0, 0, 0, -1, -5, -21
"/media/nims/ملفاتي/studio projects/sono/lib/core/services/services.dart", "Dart", 0, 0, 0, 0, -24, 0, 0, 0, 0, 0, 0, -9, -33
"/media/nims/ملفاتي/studio projects/sono/lib/core/utilization/change_local.dart", "Dart", 0, 0, 0, 0, -34, 0, 0, 0, 0, 0, 0, -12, -46
"/media/nims/ملفاتي/studio projects/sono/lib/core/utilization/localization/language/ar.dart", "Dart", 0, 0, 0, 0, -32, 0, 0, 0, 0, 0, -15, -15, -62
"/media/nims/ملفاتي/studio projects/sono/lib/core/utilization/localization/language/en.dart", "Dart", 0, 0, 0, 0, -32, 0, 0, 0, 0, 0, -14, -11, -57
"/media/nims/ملفاتي/studio projects/sono/lib/core/utilization/localization/translation.dart", "Dart", 0, 0, 0, 0, -10, 0, 0, 0, 0, 0, -2, -3, -15
"/media/nims/ملفاتي/studio projects/sono/lib/data/data_source/static/onboarding_static.dart", "Dart", 0, 0, 0, 0, -15, 0, 0, 0, 0, 0, 0, -2, -17
"/media/nims/ملفاتي/studio projects/sono/lib/data/model/onboarding_model.dart", "Dart", 0, 0, 0, 0, -6, 0, 0, 0, 0, 0, 0, -1, -7
"/media/nims/ملفاتي/studio projects/sono/lib/logic/bindings/initial_bindings.dart", "Dart", 0, 0, 0, 0, -12, 0, 0, 0, 0, 0, -1, -5, -18
"/media/nims/ملفاتي/studio projects/sono/lib/logic/controller/home_screen_controller.dart", "Dart", 0, 0, 0, 0, -35, 0, 0, 0, 0, 0, 0, -8, -43
"/media/nims/ملفاتي/studio projects/sono/lib/logic/controller/onboarding_controller.dart", "Dart", 0, 0, 0, 0, -41, 0, 0, 0, 0, 0, 0, -10, -51
"/media/nims/ملفاتي/studio projects/sono/lib/main.dart", "Dart", 0, 0, 0, 0, -44, 0, 0, 0, 0, 0, 0, -5, -49
"/media/nims/ملفاتي/studio projects/sono/lib/main_screen.dart", "Dart", 0, 0, 0, 0, -23, 0, 0, 0, 0, 0, 0, -4, -27
"/media/nims/ملفاتي/studio projects/sono/lib/test.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -48, -13, -61
"/media/nims/ملفاتي/studio projects/sono/lib/view/screen/account.dart", "Dart", 0, 0, 0, 0, -8, 0, 0, 0, 0, 0, 0, -2, -10
